"14","rs","rd","bd","rs","ys","rd","yd","ys","bc","yd","bd","rs","ys","rd","yd"
"15","ys","ys","ys","ys","rs","ys","rs","ys","bs","ys","bd","ys","bs","yd","rd"
"16","bs","bs","bs","rs","rs","rs","rs","bs","bs","bs","bs","rd","rd","rd","rd"
"17","bc","bs","bs","rc","rc","rs","rs","yc","bc","ys","bs","rc","rc","rs","rs"
"18","bc","bs","ys","rc","rc","rs","ys","bc","yc","ys","yc","rs","rc","yd","rs"
"19","bs","bs","bs","rs","rs","rs","rs","bd","bd","bd","bd","rd","rd","rd","rd"
"20","bs","yc","bc","ys","bs","yc","bc","yd","bd","yd","bd","yd","bd","yd","bd"
"21","bd","bc","bc","yd","yd","yc","yc","bd","bd","bc","bc","bd","yd","yc","yc"
"22","bd","bc","bc","yd","yd","yc","yc","bd","bd","bc","bc","yd","yd","yc","yc"
"23","rs","bs","bs","rs","rs","rs","rs","yd","rd","bd","bs","rd","rd","rd","rd"
"24","yc","yc","yc","rc","rc","rc","rc","yc","yc","yc","yc","rc","rc","rc","rc"
"25","bc","rd","bd","rc","bc","rd","bd","rc","bc","rd","bs","rd","bd","rs","bs"
"26","rc","bc","yc","rc","rc","rc","rc","ys","ys","ys","yc","rs","rs","rc","rc"
"27","bs","bs","bs","rs","rc","rs","rc","yc","rc","yd","bs","yc","rc","bs","rd"
"28","bs","bc","bc","bd","yd","yc","yc","bd","bd","bc","bc","yd","yd","yc","yc"
"29","bs","bc","bc","bs","yd","ys","yc","bs","bd","bc","bc","rd","yd","yc","yc"
"30","bc","rs","bd","rc","bc","rd","bd","rd","bd","rs","bs","rd","bd","rs","bs"
"31","bc","bc","rc","ys","rc","yd","yd","rd","rc","yd","bd","rs","rs","rd","bd"
"32","bd","bd","bc","yd","yd","yc","yc","bd","bd","bc","bc","yd","yd","yc","yc"
"33","bd","bc","bc","yd","yd","yc","yc","bd","bd","bc","bc","yd","yd","yc","yc"
"34","bs","bs","rd","yc","rc","rs","rs","bd","bs","bd","bd","rd","rd","rd","rd"
"35","rc","yc","yc","yc","rc","rc","rc","yc","ys","ys","ys","yd","rc","rs","rc"
"36","bs","yd","bd","ys","bs","yd","bd","ys","bs","ys","bd","ys","bs","yd","bd"
"38","rs","yd","rd","rs","bs","rd","bd","ys","rs","yd","rd","rs","bs","rd","bd"
"39","bs","yd","bd","ys","bs","yd","bd","ys","bs","yd","bd","rc","rc","rd","bd"
"40","yc","ys","ys","rc","rc","rc","rs","yd","yc","ys","yd","rc","rd","rs","rs"
"41","bs","bd","bs","rs","rs","rs","rs","bd","bd","bd","bd","rd","rd","rd","rd"
"42","yc","rs","bs","rc","bc","rs","bs","rc","bd","yd","yd","rd","bd","rs","bd"
"43","yc","yd","yc","rd","ys","rc","ys","yd","yd","yc","yc","bc","rs","rc","rc"
"44","bs","rs","bs","ys","bs","ys","bs","yd","bd","yd","bd","yd","bd","yd","bd"
"45","bc","rs","bs","rc","bc","rs","bs","rc","bc","rs","bs","rc","bc","rs","bs"
"46","bc","rs","bs","rc","bc","rs","bs","rd","bd","rd","bd","rd","bd","rd","bd"
"51","bs","rs","bs","bs","bs","ys","bs","yd","bd","yd","bd","yd","bd","yd","bd"
"52","bs","ys","bs","ys","bs","ys","bs","ys","bs","ys","bs","yd","bd","bd","bd"
